Date,ADI,ADSK,AKAM,AMAT,CDW,CRM,CSCO,FTNT,GLW,INTU,MSI,MU,NOW,NXPI,ORCL,ROP,SNPS,TEL,TER,VRSN
04/01/2010,21.89781761,25.67000008,25.92000008,11.02713871,,18.48045921,15.97570324,1.799999952,13.2775135,27.1437149,25.18649864,10.58631134,,,20.01703644,47.71828461,22.44000053,18.40315437,10.08849239,20.82629776
05/01/2010,21.86325455,25.28000069,26.69000053,10.94231701,,18.40141869,15.90452385,1.838999987,13.32502651,27.1437149,24.83887863,10.89853573,,,19.99286842,47.10979462,22.25,18.13112068,10.12531185,21.04516792
06/01/2010,21.82176208,25.34000015,26.46999931,10.91918182,,18.36930847,15.8009882,1.940999985,13.1553297,26.76488304,25.18649864,10.94731998,,,19.70288086,47.56020737,22.20999908,18.49874496,10.03326607,20.81787872
07/01/2010,21.6489048,25.47999954,26.47999954,10.80351448,,18.28779984,15.87217045,1.945000052,13.28430653,26.67678452,25.69212151,10.5765543,,,19.63844681,47.37819672,22.14999962,18.15318108,10.08849239,20.5316658
08/01/2010,21.77336693,26.26000023,26.47999954,11.21992207,,18.31497002,15.95629406,2.010999918,13.50152206,27.38158798,24.52286339,10.83023643,,,19.88009834,47.71487427,22.30999947,18.3810997,10.19895077,20.69160843
11/01/2010,21.6489048,26.25,26.38999939,11.46667957,,18.19146919,15.91098881,2.005000114,13.90880775,27.5049324,24.27005196,10.63509655,,,19.88815689,47.91502762,22.12000084,18.21934128,10.6039629,20.6326828
12/01/2010,20.75003242,25.88999939,26.15999985,10.9500227,,16.86755562,15.65864944,1.978999972,13.69158554,27.5049324,23.3852005,10.01065063,,,19.78343391,47.87864685,21.79999924,18.18993759,10.18054104,20.35488701
13/01/2010,20.74312401,26.25,26.04000092,11.00400352,,16.91942406,15.94335175,1.944000006,13.78662205,27.82208633,24.01723289,10.20578766,,,19.97675705,47.70576477,22.01000023,18.76342583,10.04247189,20.54008293
14/01/2010,20.72237587,26.60000038,26.87999916,11.06570148,,17.08985329,16.14392662,1.99000001,13.71195698,27.99829292,24.36485481,10.46922684,,,20.45297432,47.76947021,22.19000053,18.8663559,9.941213608,20.48115921
15/01/2010,20.02403069,26.07999992,26.61000061,10.58759499,,16.95153427,15.78805637,1.963000059,13.345397,27.71636772,23.95403481,9.883810043,,,20.37225533,47.05063629,21.96999931,18.55755806,9.508588791,20.18652725
19/01/2010,20.3766613,26.17000008,27.21999931,10.77266693,,17.16642189,16.07923126,1.980000019,13.43364716,27.9542408,24.14364243,10.03016376,,,20.44489861,48.98872757,21.97999954,18.71930885,9.720297813,20.45590401
20/01/2010,20.00328064,26.12000084,26.95000076,10.64157581,,16.93177605,15.7945261,1.906000018,13.42006874,27.5049324,23.63801575,9.737452507,,,20.22697067,48.49737549,21.97999954,18.79283714,9.573019028,20.21178055
21/01/2010,20.09317398,25.69000053,26.71999931,10.47192955,,16.5192852,15.51629829,1.838999987,13.31145668,27.17013931,23.29039383,9.561831474,,,20.04133797,47.55108643,22.21999931,18.96929169,9.600639343,20.22861481
